locations,lat,lng
"Victoria, British Columbia",48.4283182,-123.3649533
"North Auburn, CA",38.9312869,-121.0818904
"Sablayan, Mimaropa",12.8470382,120.7799198
"Chennai, India",13.0836939,80.270186
"Guanacaste, Costa Rica",10.378844050000001,-85.43382874573226
"Meath, Ireland",53.649784350000004,-6.588529492009938
"Sholinganallur, India",12.9174426,80.21649018230858
"Houston, TX",29.7589382,-95.3676974
"Gahanna, OH",40.0195625,-82.8791363
"Louth, Ireland",53.90628485,-6.532050201271116
"Changwon-si, Republic of Korea",35.227956,128.6818586
"Waterford, Ireland",52.2609997,-7.1119081
"Nashville, TN",36.1622767,-86.7742984
"Brighton, England",50.8214626,-0.1400561
"Hindupur, India",13.826383,77.4937723
"Westerville, OH",40.126139,-82.9295287
"Arayat, Central Luzon",15.1515014,120.7695638
"Kampala, Uganda",0.3177137,32.5813539
"Cebu City, Central Visayas",10.2931062,123.9020773
"Surigao City, Caraga",9.7905543,125.493335
"Legazpi City, Bicol Region",13.13808835,123.73596161635166
"Lubao, Central Luzon",14.9378136,120.600497
"Padre Garcia, Calabarzon",13.8774171,121.213934
"Newark, NJ",40.735657,-74.1723667
"Nairobi, Kenya",-1.2832533,36.8172449
"Ottawa, Ontario",45.4211435,-75.6900574
"Bacoor, Calabarzon",14.4589855,120.9398889
"Slough, South East",51.5111014,-0.5940682
"Hojai, India",26.009390850000003,92.84879014262606
"San Francisco, CA",37.7790262,-122.419906
"Narragansett, RI",41.4501021,-71.4495005
"Kajang, Selangor",2.98323405,101.79065870262707
"Lewisville, TX",33.046233,-96.994174
"Weston-super-Mare, England",51.3471927,-2.9778916
"Cainta, Calabarzon",14.5780161,121.1163072
"Tamil Nadu, India",10.9094334,78.3665347
"Sriperumbudur, India",12.9201301,79.9391056357725
"Tampa, FL",27.9477595,-82.458444
"Raleigh Hills, OR",45.4806734,-122.762042
"Kidapawan City, Soccsksargen",7.0094356,125.09084260910264
"Westminster, CA",33.7578725,-117.9859054
"Yorkshire and The Humber, England",53.9318994,-1.1664716608886017
Hasbro Children's Hospital,41.8112657,-71.4079546
"Kitchener, Ontario",43.451291,-80.4927815
"Manchester, England",53.4794892,-2.2451148
"Michigan, USA",43.6211955,-84.6824346
"Buechel, KY",38.1950696,-85.6519047
"Pembroke, Ontario",45.8260909,-77.113541
"Higher Folds, England",53.5042023,-2.4810208
"Plattsburgh, NY",44.69282,-73.45562
"Coimbatore, India",11.0018115,76.9628425
"Los Angeles, CA",34.0536909,-118.242766
"Ashland, OR",42.1972487,-122.7153995
"Drigh Road, Pakistan",24.8866864,67.1258404
"Longford, Ireland",53.7278,-7.7963816
"Bradford, England",53.7944229,-1.7519186
"Princeton, NJ",40.34833555,-74.6684230570877
"Rhode Island, USA",41.7962409,-71.5992372
"Iloilo City, Western Visayas",10.7026718,122.5686136
"Burnham, IL",41.638924,-87.5567108
"Leeds, England",53.7974185,-1.5437941
India,22.3511148,78.6677428
"Lilo-An, Central Visayas",9.4180496,123.30688
"Wakefield, England",53.6829541,-1.4967286
"Minto, Ontario",43.8341324,-80.8476838
"Currimao, Ilocos Region",18.0194482,120.4868281
"Kolkata, India",22.5414185,88.35769124388872
"Manchester, CT",41.7834017,-72.5231973
"Colwood, British Columbia",48.4234135,-123.4939645
"Marikina City, National Capital Region",14.6390083,120.9727638
"Kagiso, South Africa",-25.3544444,27.0786111
"Maine, USA",45.709097,-68.8590201
"Montréal, Québec",45.5031824,-73.5698065
"Reno, NV",39.5261206,-119.8126581
"Tucson, AZ",32.2228765,-110.9748477
"Billings, MT",45.7874957,-108.49607
"Pueblo Viejo, Puerto Rico",18.4162697,-66.11977377115849
"Winchester, England",51.0612766,-1.3131692
"Tennessee, USA",35.7730076,-86.2820081
"Columbus, OH",39.9622601,-83.0007065
"Richmond, VA",37.5385087,-77.43428
"Lakemoor, IL",42.3286331,-88.1989732
"Toronto, Ontario",43.6534817,-79.3839347
"Dumfries, Scotland",55.069836,-3.6092292
"Ikeja, Nigeria",6.6048591000000005,3.3532040740949824
"Haveli, India",18.51051985,74.0609353177903
"Calgary, Alberta",51.0460954,-114.065465
"Johannesburg, South Africa",-26.205,28.049722
"Denver, CO",39.7392364,-104.9848623
"West Molesey, South East",51.4047705,-0.3641342
"Silchar, India",24.817861100000002,92.75622075294373
"President Roxas, Western Visayas",11.43684365,122.9307742786271
"San Carlos City, Western Visayas",16.4063461,120.5656509
"Camberwell, London",51.4745706,-0.0925416
"Kaunas, Lietuva",54.8982139,23.9044817
"Dubai, United Arab Emirates",25.2653471,55.2924914
"Philadelphia, PA",39.9527237,-75.1635262
"Abergavenny, Wales",51.8213212,-3.0147935
"Bridge of Don, Scotland",57.1881806,-2.1053713
"Woking, South East",51.3201891,-0.5564726
"Impasug-Ong, Northern Mindanao",8.3060497,124.9975379
"Amloh, India",30.6115717,76.2316357
"Port Macquarie, New South Wales",-31.4299499,152.9103525
"Oshogbo, Nigeria",7.7791666,4.5538891
Cyprus,34.9823018,33.1451285
"Washington, DC",38.8950368,-77.0365427
