tweet_places,full_name
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Sablayan, Mimaropa","Sablayan, Mimaropa"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Chennai, India","Chennai, India"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Guanacaste, Costa Rica","Guanacaste, Costa Rica"
"Meath, Ireland","Meath, Ireland"
NA,NA
NA,NA
NA,NA
NA,NA
"Sholinganallur, India","Sholinganallur, India"
"Houston, TX","Houston, TX"
"Gahanna, OH","Gahanna, OH"
NA,NA
NA,NA
NA,NA
NA,NA
"Louth, Ireland","Louth, Ireland"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Changwon-si, Republic of Korea","Changwon-si, Republic of Korea"
NA,NA
"Waterford, Ireland","Waterford, Ireland"
"Nashville, TN","Nashville, TN"
"Brighton, England","Brighton, England"
NA,NA
"Hindupur, India","Hindupur, India"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Westerville, OH","Westerville, OH"
"Arayat, Central Luzon","Arayat, Central Luzon"
NA,NA
"Kampala, Uganda","Kampala, Uganda"
NA,NA
NA,NA
"Cebu City, Central Visayas","Cebu City, Central Visayas"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Davao City, Davao Region","Davao City, Davao Region"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Surigao City, Caraga","Surigao City, Caraga"
NA,NA
NA,NA
NA,NA
"Legazpi City, Bicol Region","Legazpi City, Bicol Region"
NA,NA
"Lubao, Central Luzon","Lubao, Central Luzon"
"Padre Garcia, Calabarzon","Padre Garcia, Calabarzon"
"Newark, NJ","Newark, NJ"
NA,NA
NA,NA
NA,NA
NA,NA
"Nairobi, Kenya","Nairobi, Kenya"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Ottawa, Ontario","Ottawa, Ontario"
"Bacoor, Calabarzon","Bacoor, Calabarzon"
"Slough, South East","Slough, South East"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"New York, USA","New York, USA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Hojai, India","Hojai, India"
"Nairobi, Kenya","Nairobi, Kenya"
NA,NA
"San Francisco, CA","San Francisco, CA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Narragansett, RI","Narragansett, RI"
NA,NA
NA,NA
NA,NA
"Kajang, Selangor","Kajang, Selangor"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"North Region, Singapore","North Region, Singapore"
NA,NA
NA,NA
NA,NA
NA,NA
"Lewisville, TX","Lewisville, TX"
NA,NA
"Weston-super-Mare, England","Weston-super-Mare, England"
NA,NA
NA,NA
"Cainta, Calabarzon","Cainta, Calabarzon"
NA,NA
NA,NA
"Tamil Nadu, India","Tamil Nadu, India"
NA,NA
"Sriperumbudur, India","Sriperumbudur, India"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Tampa, FL","Tampa, FL"
NA,NA
NA,NA
"Raleigh Hills, OR","Raleigh Hills, OR"
NA,NA
NA,NA
NA,NA
NA,NA
"Changwon-si, Republic of Korea","Changwon-si, Republic of Korea"
"Kidapawan City, Soccsksargen","Kidapawan City, Soccsksargen"
NA,NA
NA,NA
NA,NA
NA,NA
"Westminster, CA","Westminster, CA"
"Yorkshire and The Humber, England","Yorkshire and The Humber, England"
NA,NA
NA,NA
Hasbro Children's Hospital,Hasbro Children's Hospital
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Ottawa, Ontario","Ottawa, Ontario"
"Kitchener, Ontario","Kitchener, Ontario"
"Manchester, England","Manchester, England"
"Michigan, USA","Michigan, USA"
NA,NA
NA,NA
"Buechel, KY","Buechel, KY"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Worcester, England","Worcester, England"
"Pembroke, Ontario","Pembroke, Ontario"
NA,NA
NA,NA
NA,NA
"Higher Folds, England","Higher Folds, England"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Plattsburgh, NY","Plattsburgh, NY"
"Coimbatore, India","Coimbatore, India"
"Houston, TX","Houston, TX"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Los Angeles, CA","Los Angeles, CA"
"Ashland, OR","Ashland, OR"
"Drigh Road, Pakistan","Drigh Road, Pakistan"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Longford, Ireland","Longford, Ireland"
NA,NA
NA,NA
"Perambur Purasavakam, India","Perambur Purasavakam, India"
"Changwon-si, Republic of Korea","Changwon-si, Republic of Korea"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Bradford, England","Bradford, England"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Pasay City, National Capital Region","Pasay City, National Capital Region"
NA,NA
"Princeton, NJ","Princeton, NJ"
"Rhode Island, USA","Rhode Island, USA"
NA,NA
NA,NA
NA,NA
"Los Angeles, CA","Los Angeles, CA"
NA,NA
NA,NA
"Iloilo City, Western Visayas","Iloilo City, Western Visayas"
NA,NA
NA,NA
"Rhode Island, USA","Rhode Island, USA"
NA,NA
NA,NA
"Rhode Island, USA","Rhode Island, USA"
NA,NA
NA,NA
NA,NA
"Burnham, IL","Burnham, IL"
"Houston, TX","Houston, TX"
NA,NA
NA,NA
"Leeds, England","Leeds, England"
"Pinellas Park, FL","Pinellas Park, FL"
India,India
NA,NA
NA,NA
NA,NA
"Lilo-An, Central Visayas","Lilo-An, Central Visayas"
NA,NA
"Wakefield, England","Wakefield, England"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Minto, Ontario","Minto, Ontario"
NA,NA
NA,NA
NA,NA
"Glasgow, Scotland","Glasgow, Scotland"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Currimao, Ilocos Region","Currimao, Ilocos Region"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Kolkata, India","Kolkata, India"
NA,NA
NA,NA
"Manchester, CT","Manchester, CT"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Rhode Island, USA","Rhode Island, USA"
NA,NA
NA,NA
"Colwood, British Columbia","Colwood, British Columbia"
NA,NA
"Marikina City, National Capital Region","Marikina City, National Capital Region"
NA,NA
NA,NA
NA,NA
NA,NA
"Kagiso, South Africa","Kagiso, South Africa"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Queens, NY","Queens, NY"
"Maine, USA","Maine, USA"
NA,NA
NA,NA
NA,NA
NA,NA
"Montréal, Québec","Montréal, Québec"
NA,NA
NA,NA
"Reno, NV","Reno, NV"
"Dallas, TX","Dallas, TX"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Tucson, AZ","Tucson, AZ"
NA,NA
"Brooklyn, NY","Brooklyn, NY"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Billings, MT","Billings, MT"
"Pueblo Viejo, Puerto Rico","Pueblo Viejo, Puerto Rico"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Winchester, England","Winchester, England"
"Tennessee, USA","Tennessee, USA"
NA,NA
"Columbus, OH","Columbus, OH"
"Richmond, VA","Richmond, VA"
NA,NA
"Lakemoor, IL","Lakemoor, IL"
NA,NA
"Toronto, Ontario","Toronto, Ontario"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Queens, NY","Queens, NY"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Dumfries, Scotland","Dumfries, Scotland"
"Ikeja, Nigeria","Ikeja, Nigeria"
NA,NA
NA,NA
"Nashville, TN","Nashville, TN"
"Haveli, India","Haveli, India"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Anekal Bangaluru, India","Anekal Bangaluru, India"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Calgary, Alberta","Calgary, Alberta"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"New York, USA","New York, USA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Johannesburg, South Africa","Johannesburg, South Africa"
"Denver, CO","Denver, CO"
NA,NA
NA,NA
"West Molesey, South East","West Molesey, South East"
NA,NA
NA,NA
NA,NA
NA,NA
"Rae Bareily, India","Rae Bareily, India"
NA,NA
NA,NA
"Silchar, India","Silchar, India"
NA,NA
NA,NA
NA,NA
"President Roxas, Western Visayas","President Roxas, Western Visayas"
"San Carlos City, Western Visayas","San Carlos City, Western Visayas"
NA,NA
NA,NA
NA,NA
"Camberwell, London","Camberwell, London"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Kaunas, Lietuva","Kaunas, Lietuva"
"Dubai, United Arab Emirates","Dubai, United Arab Emirates"
"Philadelphia, PA","Philadelphia, PA"
"Pasay City, National Capital Region","Pasay City, National Capital Region"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Abergavenny, Wales","Abergavenny, Wales"
NA,NA
"Bridge of Don, Scotland","Bridge of Don, Scotland"
NA,NA
"Woking, South East","Woking, South East"
NA,NA
NA,NA
NA,NA
"Impasug-Ong, Northern Mindanao","Impasug-Ong, Northern Mindanao"
NA,NA
NA,NA
NA,NA
"Amloh, India","Amloh, India"
NA,NA
"Port Macquarie, New South Wales","Port Macquarie, New South Wales"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"Oshogbo, Nigeria","Oshogbo, Nigeria"
NA,NA
NA,NA
NA,NA
NA,NA
Cyprus,Cyprus
NA,NA
"Washington, DC","Washington, DC"
NA,NA
NA,NA
NA,NA
